Country,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,Region
Sweden,6.179170312153881,5.9225166814549235,6.1055843100495215,6.420904486151941,6.480194858486784,6.346580084035015,6.535628530312172,7.845842801791257,7.86544187661184,8.09324195873134,8.250162379693766,7.324452627948592,7.209769710974416,Europe
Other,2.1916999110889925,2.1080625478993333,3.4745771163292183,4.436304452957188,4.095970922881868,5.280144093962583,7.072483298580536,7.144197432598201,6.56011295571318,6.9519997638002025,7.0801460864968355,7.912319597115424,10.783747159749662,Europe
Ghana,94.2936287489263,96.781884719897,105.95288473880383,105.81767865916171,106.32493947963323,95.40458087179125,131.4,133.3443996657696,149.05678752344159,142.37095431536002,130.11377940348,124.6755780458,127.0,Africa
Mali,42.72890395892125,42.648302342143474,47.611993538131536,55.86533354885968,60.400212163033096,71.42258343173177,82.0878245846045,73.94457771074494,88.30392478905699,96.76182267242498,92.38050192115287,99.28780569235296,101.71938216552168,Africa
Burkina Faso,44.910291944383125,59.720351629777056,56.900428245664116,61.62029961543351,62.18749511481023,54.57609407955591,57.01551649795259,74.57913547078704,77.99573205872946,82.64224479760921,93.3738711825265,102.72462961062772,96.17264875419535,Africa
South Africa,209.964915,205.33962,179.77815605,179.54255582499997,168.6343075,157.004,155.0145,147.29,126.144,113.185,102.463,113.56,92.56,Africa
Sudan,29.328566406248665,32.631052360929594,33.866208582960766,57.55517381913397,60.88289815381273,67.75303942210115,77.47428263178458,88.03428263178458,76.68728256247005,77.99828241000134,81.77928243547095,85.05648235671289,80.05648428635266,Africa
Guinea,25.83015107301647,25.685529845950235,24.320806496346727,25.433358360227217,32.05347623804822,40.99356307335565,45.57285745180353,46.77132716093992,50.836259466746995,57.63799087232094,56.850658816102424,65.03525935092176,63.51567615119082,Africa
Tanzania,47.4528427657277,54.39911657162191,56.31438492036867,51.99360016425124,51.79011747378684,53.20263913308142,55.25064753549894,54.62425462462816,46.33318379818671,46.4666177118684,48.37784586153606,50.38999033667672,50.892026986392544,Africa
Zimbabwe,17.119,18.994,22.742,23.0,23.18104509259575,25.450000000000003,26.483004426444374,34.495000000000005,51.9401,44.428700000000006,40.873180000000005,46.39133000000001,49.35462,Africa
Côte d'Ivoire,7.763754151643039,13.201687415250598,13.010704648882033,14.462612867128717,19.3808714304523,22.245221674009624,23.59659764670475,25.660795221958605,24.06,32.478,38.0,41.85,48.0,Africa
DR Congo,18.0,21.0,24.78334105269778,25.312224938350575,35.87459264943362,42.6946440466842,45.374208163810316,49.60117023097472,62.920992286742205,60.42532728710782,52.36668149576742,49.05207770133614,44.509352768693056,Africa
Niger,6.595608338431452,7.3652999999999995,9.5642,9.07746,8.66777,10.87409,8.72172,12.684277,10.684277,14.4665525,24.4665525,34.4665525,34.4665525,Africa
Liberia,10.0,10.0,11.0,10.0,10.0,10.534108896443371,14.40324904330414,13.685699744394741,19.743381327967278,18.584850656813664,18.777745348342915,20.502318024057107,21.283046384738743,Africa
Senegal,5.379301890689102,4.838831007470744,7.415786023572018,8.203287072925551,8.587840711757021,8.669634985463945,10.246623958690602,11.561230975442031,16.460759648152806,17.33853135667423,15.900676102486825,20.17763719455725,19.671124950844842,Africa
Mauritania,8.980928241034672,8.781420630677541,8.246140768221677,9.918037014816482,10.02294904065526,9.112239252170408,8.126708440086944,10.096429392449263,10.735959587501963,15.05414852413849,15.55073710962299,8.103635941491499,19.31668800525848,Africa
Madagascar,10.0,10.4,10.8,11.1,11.1,11.7,13.5,13.3,14.0,14.5,13.774999999999999,15.515,15.515,Africa
Other,43.430656072667034,60.12242591033055,66.55343370341791,69.5894283359753,73.18299122081862,87.87848355325355,104.7276978909282,109.05293471686389,110.73755288612927,109.85640958475153,106.78682674125878,115.36248084230806,115.20013765471435,Africa
Russia,203.07169999999996,211.596,233.4,248.497,252.7,255.29399999999998,262.361,280.68,295.404,327.15500000000003,331.737,330.884,324.6732594570552,Commonwealth of Independent States
Uzbekistan,68.99464692694728,68.12563624786944,77.01040035544523,78.01042526321393,79.45462187861452,78.9999823643289,89.99999023350841,91.11184008800001,91.581502636,93.15504155999999,100.15601228,104.85967072000001,110.84091615999999,Commonwealth of Independent States
